id,line_item_quantity,line_item_value,pack_price,unit_price,weight_kilograms,freight_cost_usd,line_item_insurance_usd
533,670,1025.1,1.53,0.01,Weight Captured Separately,Freight Included in Commodity Cost,1.64
535,2597,61470.99,23.67,0.79,117,645.1,98.35
543,28,9800.0,350.0,3.5,109,782.13,15.68
551,84,11676.0,139.0,1.39,54,871.57,22.88
598,30,1049.4,34.98,0.58,Weight Captured Separately,Freight Included in Commodity Cost,1.68
610,38640,92736.0,2.4,0.04,2719,18614.72,148.38
630,34,1547.68,45.52,0.08,115,1755.87,2.48
637,42000,60900.0,1.45,0.02,2600,10179.16,97.44
646,50,696.5,13.93,0.06,Weight Captured Separately,Freight Included in Commodity Cost,1.11
660,16800,171192.0,10.19,0.34,1224,4686.88,335.54
668,98,3675.0,37.5,1.5,34,180,5.88
670,4500,323955.0,71.99,0.72,1053,11062.05,634.95
712,10,320.0,32.0,1.6,Weight Captured Separately,Invoiced Separately,0.51
717,500,38000.0,76.0,1.9,562,11298.13,60.8
719,25000,9750.0,0.39,0.03,1708,12830.91,19.11
772,9,453.6,50.4,1.68,Weight Captured Separately,Freight Included in Commodity Cost,0.89
791,150,10798.5,71.99,0.72,46,2698.04,21.17
796,15,450.0,30.0,15.0,1,578.01,0.88
797,319,6380.0,20.0,0.8,100,1122.24,12.5
835,80,1830.4,22.88,0.76,Weight Captured Separately,Freight Included in Commodity Cost,3.59
836,120,2745.6,22.88,0.76,Weight Captured Separately,Freight Included in Commodity Cost,5.38
837,600,858.0,1.43,0.01,Weight Captured Separately,Freight Included in Commodity Cost,1.68
838,7,91.35,13.05,0.22,Weight Captured Separately,Freight Included in Commodity Cost,0.18
2947,400,600.0,1.5,0.02,83,2426.05,0.96
839,40,1375.6,34.39,0.11,Weight Captured Separately,Freight Included in Commodity Cost,2.7
849,108,4050.0,37.5,1.5,Weight Captured Separately,Freight Included in Commodity Cost,7.94
858,50000,2520000.0,50.4,1.68,4093,9339,4939.2
914,140,2731.4,19.51,0.2,5209,25405.22,5.35
937,5700,182400.0,32.0,1.6,1906,23914.8,357.5
960,5964,51350.04,8.61,0.14,3509,12835.2,100.65
961,21000,50400.0,2.4,0.04,See ASN-3562 (ID#:960),See ASN-3562 (ID#:960),98.78
962,10560,72864.0,6.9,0.12,924,4225.93,142.81
979,2352,20250.72,8.61,0.14,211,892.5,39.69
985,524,21536.4,41.1,0.14,644,6668.61,42.21
986,2094,21526.32,10.28,0.17,237,Freight Included in Commodity Cost,42.19
993,8249,185602.5,22.5,0.75,2800,12595.81,363.78
1037,200,4734.0,23.67,0.79,11,463,9.28
1046,80,760.0,9.5,0.16,43,260,1.49
1047,32,402.88,12.59,0.06,See ASN-3675 (ID#:1046),See ASN-3675 (ID#:1046),0.79
1048,46,472.88,10.28,0.17,10,893.22,0.93
1063,3025,47522.75,15.71,0.52,Weight Captured Separately,Freight Included in Commodity Cost,93.14
1065,3500,49840.0,14.24,0.47,Weight Captured Separately,Freight Included in Commodity Cost,97.69
1066,1008,3588.48,3.56,0.01,Weight Captured Separately,Freight Included in Commodity Cost,7.03
1067,960,1152.0,1.2,0.01,Weight Captured Separately,Freight Included in Commodity Cost,2.26
1068,1800,10512.0,5.84,0.02,Weight Captured Separately,Freight Included in Commodity Cost,20.6
1070,1200,3384.0,2.82,0.05,Weight Captured Separately,Freight Included in Commodity Cost,6.63
1077,346,1954.9,5.65,0.02,Weight Captured Separately,Freight Included in Commodity Cost,3.83
1078,5300,16642.0,3.14,0.1,Weight Captured Separately,Freight Included in Commodity Cost,32.62
1079,342,1932.3,5.65,0.02,Weight Captured Separately,Freight Included in Commodity Cost,3.79
1080,2700,10665.0,3.95,0.07,Weight Captured Separately,Freight Included in Commodity Cost,20.9
1084,3735,134385.3,35.98,0.3,Weight Captured Separately,Freight Included in Commodity Cost,263.4
1085,6000,80640.0,13.44,0.22,Weight Captured Separately,Freight Included in Commodity Cost,158.05
1086,11672,35016.0,3.0,0.05,Weight Captured Separately,Freight Included in Commodity Cost,68.63
1095,20,7000.0,350.0,3.5,48,1172.11,13.72
1109,10240,420864.0,41.1,0.34,2523,14806.48,824.89
1110,400,15344.0,38.36,0.11,175,7642.97,30.07
1111,30,1080.0,36.0,0.12,Weight Captured Separately,Freight Included in Commodity Cost,2.12
1114,80,2816.0,35.2,1.17,Weight Captured Separately,Freight Included in Commodity Cost,5.52
1115,1000,19770.0,19.77,0.33,Weight Captured Separately,3134.85,38.75
1122,60,21000.0,350.0,3.5,144,3128.19,41.16
1134,7500,600000.0,80.0,0.8,2215,16835.31,1176.0
1140,6395,511600.0,80.0,0.8,1915,24514.33,1002.74
1156,55356,386384.88,6.98,0.23,4482,37404.74,757.31
1162,1000,110000.0,110.0,2.75,1101,8074.03,215.6
1179,8,613.76,76.72,0.23,48,3366.04,1.2
1183,3500,39025.0,11.15,0.19,1804,6341.88,76.49
1196,5,1750.0,350.0,3.5,12,684.42,3.43
1198,67,5025.0,75.0,3.0,48,401.97,9.85
1213,400,2800.0,7.0,0.12,148,14.36,5.49
1215,220,7040.0,32.0,1.6,79,1736.18,13.8
1221,50,490.0,9.8,0.12,Weight Captured Separately,Freight Included in Commodity Cost,0.96
1222,5000,41300.0,8.26,0.14,Weight Captured Separately,Freight Included in Commodity Cost,80.95
1223,460,2838.2,6.17,0.03,Weight Captured Separately,Freight Included in Commodity Cost,5.56
1245,147,11076.45,75.35,1.88,165,1816.57,240.11762578459698
1246,6,2400.0,400.0,4.0,15,1039.5,240.11762578459698
1251,2800,19600.0,7.0,0.12,555,3292.15,240.11762578459698
1262,15,6000.0,400.0,4.0,36,1195.29,240.11762578459698
1279,260,11096.8,42.68,0.24,135,Freight Included in Commodity Cost,240.11762578459698
1281,894,2994.9,3.35,0.06,479,4861.14,240.11762578459698
1282,25100,276100.0,11.0,0.18,2575,18772.94,240.11762578459698
1283,95500,144205.0,1.51,0.03,9170,42453.21,240.11762578459698
1285,900,36000.0,40.0,2.0,316,4989.87,240.11762578459698
1295,80,3288.0,41.1,0.34,25,Freight Included in Commodity Cost,240.11762578459698
1298,70000,525000.0,7.5,0.12,6813,31858.09,240.11762578459698
1299,71577,1087970.4,15.2,0.51,See ASN-242 (ID#:64),See ASN-242 (ID#:64),240.11762578459698
1300,5605,202340.5,36.1,0.6,See ASN-242 (ID#:64),See ASN-242 (ID#:64),240.11762578459698
1303,200,16000.0,80.0,0.8,Weight Captured Separately,Invoiced Separately,240.11762578459698
1306,25000,187500.0,7.5,0.12,2348,21439.59,300.0
1307,375,28500.0,76.0,1.9,402,4445.75,240.11762578459698
1309,4650,372000.0,80.0,0.8,1707,24859.45,240.11762578459698
1337,1577,14981.5,9.5,0.16,306,Freight Included in Commodity Cost,23.97
1347,3500,280000.0,80.0,0.8,1194,5858.57,448.0
1350,4270,40565.0,9.5,0.16,Weight Captured Separately,Freight Included in Commodity Cost,64.9
1356,1000,1920.0,1.92,0.01,960,13762.41,3.07
1357,1000,2100.0,2.1,0.01,See ASN-744 (ID#:1356),See ASN-744 (ID#:1356),3.36
1358,1000,2100.0,2.1,0.01,See ASN-781 (ID#:115),See ASN-781 (ID#:115),3.36
1359,3000,40500.0,13.5,0.22,332,4454.62,64.8
1360,22500,277425.0,12.33,0.41,1955,16095.39,443.88
1361,500,41095.0,82.19,0.68,117,1767.38,65.75
1383,10000,200000.0,20.0,0.8,3336,25165.3,320.0
1502,1609,27353.0,17.0,0.57,157,7922.24,43.76
1512,30,1447.8,48.26,0.16,Weight Captured Separately,Freight Included in Commodity Cost,2.32
1513,100,2850.0,28.5,0.95,Weight Captured Separately,Freight Included in Commodity Cost,4.56
1519,100,18333.0,183.33,0.55,337,2535.4,29.33
1527,10000,270000.0,27.0,1.35,3336,28002.75,432.0
1529,1099,30222.5,27.5,0.46,113,1511.25,48.36
1530,1200,2100.0,1.75,0.03,125,2429.85,3.36
1531,50,17500.0,350.0,3.5,Weight Captured Separately,Freight Included in Commodity Cost,28.0
1549,650,51993.5,79.99,0.8,148,2577.27,83.19
1587,100,573.0,5.73,0.1,Weight Captured Separately,Freight Included in Commodity Cost,0.92
1593,450,14400.0,32.0,1.6,154,2496.62,23.04
1594,10270,277290.0,27.0,1.35,2907,18864.37,443.66
1618,9000,288000.0,32.0,1.6,9000,55746.59,460.8
1628,6040,193280.0,32.0,1.6,2052,24689,309.25
1634,4300,43.0,0.01,0.0,284,Freight Included in Commodity Cost,0.07
1637,289,7803.0,27.0,1.35,79,1104.69,15.29
1638,3000,215970.0,71.99,0.72,682,5298.9,345.55
1643,70,0.7,0.01,0.0,Weight Captured Separately,Invoiced Separately,0.0
1644,1116,78120.0,70.0,0.7,255,5175.72,124.99
1645,1116,78120.0,70.0,0.7,256,7118.12,153.12
1646,832,26624.0,32.0,1.6,832,3740.04,42.6
1647,213,15333.87,71.99,0.72,49,959.46,24.53
1648,10,3500.0,350.0,3.5,39,604,5.6
1861,340,47260.0,139.0,1.39,234,5446.06,75.62
1660,1634,16.34,0.01,0.0,Weight Captured Separately,Invoiced Separately,0.03
1673,400,15760.0,39.4,0.22,Weight Captured Separately,Freight Included in Commodity Cost,25.22
1674,6,47.28,7.88,0.09,Weight Captured Separately,Freight Included in Commodity Cost,0.08
1675,500,10925.0,21.85,0.73,Weight Captured Separately,Freight Included in Commodity Cost,17.48
1691,10080,29232.0,2.9,0.05,507,4159.45,46.77
1693,6720,77145.6,11.48,0.38,522,3796.05,123.43
1719,250,2.5,0.01,0.0,17,Freight Included in Commodity Cost,0.0
1722,300,4614.0,15.38,0.51,Weight Captured Separately,Freight Included in Commodity Cost,7.38
1723,300,4155.0,13.85,0.23,Weight Captured Separately,Freight Included in Commodity Cost,6.65
1724,100,1849.0,18.49,0.62,Weight Captured Separately,Freight Included in Commodity Cost,2.96
1730,1130,11.3,0.01,0.0,Weight Captured Separately,Invoiced Separately,0.02
1797,400,2800.0,7.0,0.12,81,3013.09,4.48
1798,10780,15631.0,1.45,0.02,502,7575.6,25.01
1801,670,24783.3,36.99,0.21,Weight Captured Separately,Freight Included in Commodity Cost,39.65
1802,2000,11060.0,5.53,0.09,Weight Captured Separately,Freight Included in Commodity Cost,17.7
1803,1000,16630.0,16.63,0.28,Weight Captured Separately,Freight Included in Commodity Cost,26.61
1804,30,435.9,14.53,0.06,Weight Captured Separately,Freight Included in Commodity Cost,0.7
1820,1123,78610.0,70.0,0.7,257,2851.72,154.08
1888,47879,569281.31,11.89,0.2,5311,30408.04,910.85
1889,61021,725539.69,11.89,0.2,6768,38120.96,1160.86
1905,4300,37023.0,8.61,0.14,See ASN-2274 (ID#:610),See ASN-2274 (ID#:610),59.24
1919,18030,26143.5,1.45,0.02,1114,5822.44,41.83
1926,50,663.5,13.27,0.22,Weight Captured Separately,Freight Included in Commodity Cost,1.06
1927,250,715.0,2.86,0.1,Weight Captured Separately,Freight Included in Commodity Cost,1.14
1928,60,1096.2,18.27,0.61,Weight Captured Separately,Freight Included in Commodity Cost,1.75
1929,12,150.48,12.54,0.06,Weight Captured Separately,Freight Included in Commodity Cost,0.24
1939,3000,30.0,0.01,0.0,889,7303.52,0.05
1940,213,15333.87,71.99,0.72,49,1047.39,30.05
1941,6502,65.02,0.01,0.0,1927,24870.05,0.1
1942,6875,549931.25,79.99,0.8,1566,19992.75,879.89
1954,434,35674.8,82.2,0.68,113,2709.98,69.92
1955,1100,12540.0,11.4,0.19,159,2568.6,24.58
1956,8400,85596.0,10.19,0.34,613,3247.73,167.77
1957,3648,26448.0,7.25,0.12,323,2335.19,51.84
1971,108,4050.0,37.5,1.5,34,648.27,7.94
1972,5958,160866.0,27.0,1.35,2147,11066.17,257.39
1973,3982,107514.0,27.0,1.35,1445,7303.25,210.73
2008,6998,160954.0,23.0,23.0,5057,44347.71,257.53
2014,300,7080.0,23.6,0.79,Weight Captured Separately,Freight Included in Commodity Cost,11.33
2015,40,557.6,13.94,0.06,Weight Captured Separately,Freight Included in Commodity Cost,0.89
2146,3470,79810.0,23.0,23.0,2509,19882.25,156.43
2147,3510,80730.0,23.0,23.0,2535,22433.91,158.23
2148,5000,12706.65,2.54,2.54,Weight Captured Separately,Freight Included in Commodity Cost,24.91
2153,6000,17400.0,2.9,0.05,581,2653.27,34.1
2156,1300,20410.0,15.7,0.52,Weight Captured Separately,Freight Included in Commodity Cost,40.0
2157,120,733.2,6.11,0.03,Weight Captured Separately,Freight Included in Commodity Cost,1.44
2158,6,424.08,70.68,0.26,Weight Captured Separately,Freight Included in Commodity Cost,0.83
2159,40,540.4,13.51,0.06,Weight Captured Separately,Freight Included in Commodity Cost,1.06
2171,5751,460080.0,80.0,0.8,1723,22451.67,901.76
2173,3,225.0,75.0,3.0,3,963.34,0.44
2257,100,2700.0,27.0,1.35,28,692.38,5.29
2295,68,2176.0,32.0,1.6,22,1003.52,4.26
2297,9000,21600.0,2.4,0.04,2228,9809.7,42.34
2298,700,7805.0,11.15,0.19,See ASN-3562 (ID#:960),See ASN-3562 (ID#:960),15.3
2305,25000,1260000.0,50.4,1.68,2067,7933.38,2469.6
2328,1680,117600.0,70.0,0.7,382,3241.06,230.5
2399,2100,10500.0,5.0,0.05,187,1903.54,20.58
2417,9000,648000.0,72.0,0.72,2655,25052.69,1270.08
2429,176,3359.84,19.09,0.21,Weight Captured Separately,Freight Included in Commodity Cost,6.59
2430,5017,24583.3,4.9,0.08,Weight Captured Separately,Freight Included in Commodity Cost,48.18
2431,929,3390.85,3.65,0.02,Weight Captured Separately,Freight Included in Commodity Cost,6.65
2432,6700,36582.0,5.46,0.09,Weight Captured Separately,Freight Included in Commodity Cost,71.7
2436,1350,19062.0,14.12,0.24,Weight Captured Separately,Freight Included in Commodity Cost,37.36
2437,1120,16307.2,14.56,0.49,Weight Captured Separately,Freight Included in Commodity Cost,31.96
2438,100,371.0,3.71,0.06,Weight Captured Separately,Freight Included in Commodity Cost,0.73
2439,1000,2920.0,2.92,0.05,Weight Captured Separately,Freight Included in Commodity Cost,5.72
2440,260,4035.2,15.52,0.26,Weight Captured Separately,Freight Included in Commodity Cost,7.91
2441,60,1100.4,18.34,0.61,3000,428.91,2.16
2447,5000,160900.0,32.18,0.36,Weight Captured Separately,Freight Included in Commodity Cost,315.36
2450,166,2265.9,13.65,2.73,Weight Captured Separately,Freight Included in Commodity Cost,4.44
2451,1500,15150.0,10.1,0.17,Weight Captured Separately,Freight Included in Commodity Cost,29.69
2463,7840,71344.0,9.1,0.15,719,853.88,139.83
2474,40,1440.0,36.0,0.12,Weight Captured Separately,Freight Included in Commodity Cost,2.82
2475,6,43.2,7.2,0.08,Weight Captured Separately,Freight Included in Commodity Cost,0.08
2476,6,43.2,7.2,0.08,Weight Captured Separately,Freight Included in Commodity Cost,0.08
2477,425,38250.0,90.0,0.9,130,1859.79,74.97
2478,276,24840.0,90.0,0.9,87,1205.7,48.69
2481,76,300.2,3.95,0.07,See ASN-4332 (ID#:1115),See ASN-4332 (ID#:1115),0.59
2499,73,3000.3,41.1,0.34,69,1332.43,5.88
2502,5,160.0,32.0,1.6,2,12561.4,0.31
2503,4995,159840.0,32.0,1.6,4995,275,313.29
2506,2040,83844.0,41.1,0.34,309,3777.93,164.33
2536,26932,317528.28,11.79,0.2,3393,30661.5,622.36
2539,1000,110000.0,110.0,2.75,1073,8114.11,215.6
2558,800,56000.0,70.0,0.7,195,2008.54,109.76
2559,150,1950.0,13.0,0.43,30,4111.71,3.82
2562,140,15400.0,110.0,2.75,158,4318.21,30.18
2571,2000,3800.0,1.9,0.03,251,1484.75,7.45
2588,120,840.0,7.0,0.12,Weight Captured Separately,Freight Included in Commodity Cost,1.65
2601,20,438.0,21.9,0.73,Weight Captured Separately,Freight Included in Commodity Cost,0.86
2602,320,1475.2,4.61,0.08,Weight Captured Separately,Freight Included in Commodity Cost,2.89
2603,2000,144000.0,72.0,0.72,590,5962.58,310.46
2632,2733,224625.27,82.19,0.68,589,314,440.27
2647,100,7535.0,75.35,1.88,107,1845.74,240.11762578459698
2654,45,7875.0,175.0,1.75,29,854.34,240.11762578459698
2655,1000,17000.0,17.0,0.57,61,7682.69,240.11762578459698
2656,35000,152250.0,4.35,0.07,See ASN-55 (ID#:16),See ASN-55 (ID#:16),240.11762578459698
2657,20000,338000.0,16.9,0.28,See ASN-55 (ID#:16),See ASN-55 (ID#:16),240.11762578459698
2661,416,1809.6,4.35,0.02,See ASN-57 (ID#:23),See ASN-57 (ID#:23),240.11762578459698
2662,486,2041.2,4.2,0.07,See ASN-57 (ID#:23),See ASN-57 (ID#:23),240.11762578459698
2680,906,19071.3,21.05,0.09,316,3850.8,240.11762578459698
2681,38780,432009.2,11.14,0.19,3217,14364.29,240.11762578459698
2683,4632,16906.8,3.65,0.06,See ASN-93 (ID#:1281),See ASN-93 (ID#:1281),240.11762578459698
2684,166,356.9,2.15,0.04,See ASN-93 (ID#:1281),See ASN-93 (ID#:1281),240.11762578459698
2685,60784,1018132.0,16.75,0.56,11179,49824.57,240.11762578459698
2686,1000,5050.0,5.05,0.02,3822,25124.12,240.11762578459698
2687,1000,2440.0,2.44,0.01,See ASN-272 (ID#:1282),See ASN-272 (ID#:1282),240.11762578459698
2705,25,10000.0,400.0,4.0,60,1498.02,240.11762578459698
2708,25000,187500.0,7.5,0.12,2336,21150.56,300.0
2721,5408,68952.0,12.75,0.21,1072,Freight Included in Commodity Cost,240.11762578459698
2733,50,20000.0,400.0,4.0,120,3004.62,240.11762578459698
2740,10000,270000.0,27.0,1.35,3045,28118.58,432.0
2741,11500,310500.0,27.0,1.35,3276,43664.71,496.8
2756,8000,216000.0,27.0,1.35,2603,22838.29,345.6
2765,22500,277425.0,12.33,0.41,2895,18045.24,443.88
2766,500,950.0,1.9,0.01,See ASN-744 (ID#:1356),See ASN-744 (ID#:1356),1.52
2767,800,5600.0,7.0,0.12,161,2514.05,8.96
2785,200,16440.0,82.2,0.27,340,2326.1,26.3
2794,10000,200000.0,20.0,0.8,3336,27791.62,320.0
2795,5000,100000.0,20.0,0.8,1456,14505.37,160.0
2796,150,11250.0,75.0,3.0,Weight Captured Separately,Invoiced Separately,18.0
2808,35065,54350.75,1.55,0.03,2318,6755.81,86.96
2823,2220,71040.0,32.0,1.6,732,6524.19,113.66
2892,140,3313.8,23.67,0.79,6,Freight Included in Commodity Cost,5.3
2921,500,3630.0,7.26,0.03,Weight Captured Separately,Freight Included in Commodity Cost,5.81
2922,20,535.2,26.76,0.89,Weight Captured Separately,Freight Included in Commodity Cost,0.86
2923,10,443.0,44.3,1.48,Weight Captured Separately,Freight Included in Commodity Cost,0.71
2927,4500,144000.0,32.0,1.6,2300,38425.29,230.4
2960,2,278.0,139.0,1.39,Weight Captured Separately,Invoiced Separately,0.44
2965,4,556.0,139.0,1.39,Weight Captured Separately,Invoiced Separately,0.89
2993,200,696.0,3.48,0.12,Weight Captured Separately,Freight Included in Commodity Cost,1.11
2994,1200,23808.0,19.84,0.66,Weight Captured Separately,Freight Included in Commodity Cost,38.09
2995,30,1271.1,42.37,1.41,Weight Captured Separately,Freight Included in Commodity Cost,2.03
2996,3,32.31,10.77,0.13,Weight Captured Separately,Freight Included in Commodity Cost,0.05
3007,546,3822.0,7.0,0.12,108,Freight Included in Commodity Cost,6.12
3008,9048,244296.0,27.0,1.35,2985,20635.3,390.87
3009,3000,239970.0,79.99,0.8,861,12770.05,383.95
3010,3199,255888.01,79.99,0.8,550,8213.59,409.42
3026,400,8416.0,21.04,0.7,Weight Captured Separately,Freight Included in Commodity Cost,13.47
3037,805,62967.1,78.22,0.78,Weight Captured Separately,Freight Included in Commodity Cost,100.75
3039,4200,42.0,0.01,0.0,Weight Captured Separately,Invoiced Separately,0.07
3040,2000,143980.0,71.99,0.72,455,4113.16,230.37
3049,70,5039.3,71.99,0.72,16,515.48,8.06
3050,1116,78120.0,70.0,0.7,255,5303.05,124.99
3055,850,61191.5,71.99,0.72,194,2642.45,97.91
3080,20,563.0,28.15,0.31,Weight Captured Separately,Freight Included in Commodity Cost,0.9
3081,2500,37500.0,15.0,0.5,Weight Captured Separately,Freight Included in Commodity Cost,60.0
3094,520,13000.0,25.0,0.42,137,5260.46,20.8
3096,2576,3889.76,1.51,0.03,121,2789.74,6.22
3097,2464,3720.64,1.51,0.03,114,2879.96,5.95
3152,100,7199.0,71.99,0.72,25,641.04,11.52
3153,100,1.0,0.01,0.0,Weight Captured Separately,Invoiced Separately,0.0
3154,100,7199.0,71.99,0.72,25,1038.39,11.52
3159,81,3798.09,46.89,2.34,Weight Captured Separately,Freight Included in Commodity Cost,6.08
3191,4,38.88,9.72,0.12,Weight Captured Separately,Freight Included in Commodity Cost,0.06
3192,150,3166.5,21.11,0.35,Weight Captured Separately,Freight Included in Commodity Cost,5.07
3193,1350,6979.5,5.17,0.09,Weight Captured Separately,Freight Included in Commodity Cost,11.17
3202,1123,78610.0,70.0,0.7,257,2873.56,154.08
3245,9000,288000.0,32.0,1.6,3000,34902.96,460.8
3261,2016,24917.76,12.36,0.41,120,5921.97,39.87
3282,1000,16190.0,16.19,0.54,Weight Captured Separately,Freight Included in Commodity Cost,25.9
3292,12315,332505.0,27.0,1.35,3508,29954.15,532.01
3294,50,1183.5,23.67,0.79,2,330,1.89
3302,1440,10440.0,7.25,0.12,128,2147.61,20.46
3313,4500,45.0,0.01,0.0,See ASN-2641 (ID#:670),See ASN-2641 (ID#:670),0.09
3354,6998,160954.0,23.0,23.0,4913,46117.09,315.47
3357,60,360.6,6.01,0.03,Weight Captured Separately,Freight Included in Commodity Cost,0.58
3358,130,644.8,4.96,0.08,Weight Captured Separately,Freight Included in Commodity Cost,1.03
3359,40,1337.2,33.43,0.56,Weight Captured Separately,Freight Included in Commodity Cost,2.14
3360,1,75.0,75.0,3.0,Weight Captured Separately,Invoiced Separately,0.12
3375,50000,19500.0,0.39,0.03,See ASN-2921 (ID#:719),See ASN-2921 (ID#:719),38.22
3378,1000,80000.0,80.0,0.8,337,3499.18,156.8
3386,1000,71990.0,71.99,0.72,296,2648.82,115.18
3419,862,65512.0,76.0,1.9,963,25080.52,128.4
3421,5900,297360.0,50.4,1.68,493,1727.2,475.78
3441,5500,395945.0,71.99,0.72,1624,12646.15,776.05
3456,6156,14774.4,2.4,0.04,1044,3854.23,28.96
3457,150,10800.0,72.0,0.72,46,2946.64,21.17
3470,50,917.0,18.34,0.61,2,378,1.8
3479,3510,80730.0,23.0,23.0,2535,20083.74,158.23
3490,1200,5772.0,4.81,0.08,Weight Captured Separately,Freight Included in Commodity Cost,11.31
3499,839,26848.0,32.0,1.6,284,3261.37,52.62
3507,5259,420720.0,80.0,0.8,1584,22775.45,824.61
3508,7,490.0,70.0,0.7,See ASN-3110 (ID#:2173),See ASN-3110 (ID#:2173),0.96
3551,1062,33984.0,32.0,1.6,355,4457.29,66.61
3552,213,15336.0,72.0,0.72,64,1083.36,30.06
3615,336,2520.0,7.5,0.12,18,2525.73,4.94
3616,300,3345.0,11.15,0.19,See ASN-3561 (ID#:2297),See ASN-3561 (ID#:2297),6.56
3674,386,27020.0,70.0,0.7,88,3936.25,52.96
3718,80,560.0,7.0,0.12,See ASN-3675 (ID#:1046),See ASN-3675 (ID#:1046),1.1
3719,1470,60417.0,41.1,0.34,362,2490.67,118.42
3735,1000,3970.0,3.97,0.07,Weight Captured Separately,Freight Included in Commodity Cost,7.78
3736,3675,9371.25,2.55,0.04,Weight Captured Separately,Freight Included in Commodity Cost,18.37
3737,824,15515.92,18.83,0.21,Weight Captured Separately,Freight Included in Commodity Cost,30.41
3738,10560,163046.4,15.44,0.26,Weight Captured Separately,Freight Included in Commodity Cost,319.57
