id,manufacturing_site,first_line_designation
1079,"Aurobindo Unit III, India",True
1080,"BMS Meymac, France",True
1084,ABBVIE Ludwigshafen Germany,True
1085,GSK Aranda,True
1086,"Aurobindo Unit III, India",True
1095,"Pacific Biotech, Thailand",True
1109,ABBVIE Ludwigshafen Germany,True
1110,ABBVIE (Abbott) Logis. UK,True
1111,ABBVIE (Abbott) Logis. UK,True
1114,"Aspen-OSD, Port Elizabeth, SA",True
1115,"Aurobindo Unit III, India",True
1122,"Pacific Biotech, Thailand",True
1134,Inverness Japan,True
1140,Inverness Japan,True
1156,Hetero Unit III Hyderabad IN,True
1162,Bio-Rad Laboratories,True
1179,ABBVIE (Abbott) France,True
1183,"Aurobindo Unit III, India",True
1196,"Pacific Biotech, Thailand",True
1198,Chembio Diagnostics Sys. Inc.,True
1213,"BMS Meymac, France",True
1215,"Trinity Biotech, Plc",True
1221,ABBVIE (Abbott) Logis. UK,True
1222,"Aurobindo Unit III, India",True
1223,GSK Mississauga (Canada),True
1245,Bio-Rad Laboratories,True
1246,"Pacific Biotech, Thailand",True
1251,"BMS Meymac, France",True
1262,"Pacific Biotech, Thailand",True
1279,ABBVIE (Abbott) St. P'burg USA,True
1281,"Aurobindo Unit III, India",True
1282,"Cipla, Goa, India",True
1283,"Strides, Bangalore, India.",True
1285,"Trinity Biotech, Plc",True
1295,ABBSP,True
1298,"Cipla, Goa, India",True
1299,"Cipla, Goa, India",False
1300,"Cipla, Patalganga, India",False
1303,ABBVIE GmbH & Co.KG Wiesbaden,True
1306,"Cipla, Goa, India",True
1307,Bio-Rad Laboratories,True
1309,ABBVIE GmbH & Co.KG Wiesbaden,True
1337,"BMS Meymac, France",True
1347,ABBVIE GmbH & Co.KG Wiesbaden,True
1350,"BMS Meymac, France",False
1356,"Aurobindo Unit III, India",True
1357,"Aurobindo Unit III, India",False
1358,"Aurobindo Unit III, India",False
1359,"Aurobindo Unit III, India",True
1360,"Aurobindo Unit III, India",True
1361,ABBVIE Ludwigshafen Germany,True
1383,"Standard Diagnostics, Korea",True
1502,"Aspen-OSD, Port Elizabeth, SA",True
1512,ABBVIE (Abbott) Logis. UK,False
1513,"BMS Meymac, France",False
1519,ABBVIE (Abbott) Logis. UK,True
1527,Chembio Diagnostics Sys. Inc.,True
1529,Mylan (formerly Matrix) Nashik,True
1530,"Aurobindo Unit III, India",True
1531,"Pacific Biotech, Thailand",True
1549,Inverness Japan,True
1587,"BMS Meymac, France",False
1593,"Trinity Biotech, Plc",True
1594,Chembio Diagnostics Sys. Inc.,True
1618,"Trinity Biotech, Plc",True
1628,"Trinity Biotech, Plc",True
1634,Inverness Japan,True
1637,Chembio Diagnostics Sys. Inc.,True
1638,Inverness Japan,True
1643,Inverness Japan,True
1644,Inverness Japan,True
1645,Inverness Japan,True
1646,"Trinity Biotech, Plc",True
1647,Inverness Japan,True
1648,"Pacific Biotech, Thailand",True
1861,"Trinity Biotech, Plc",True
1660,Inverness Japan,True
1673,ABBVIE (Abbott) Logis. UK,False
1674,ABBVIE (Abbott) France,False
1675,"Aspen-OSD, Port Elizabeth, SA",False
1691,"Aurobindo Unit III, India",True
1693,Mylan (formerly Matrix) Nashik,True
1719,Inverness Japan,True
1722,"Cipla, Goa, India",False
1723,GSK Aranda,True
1724,"BMS Meymac, France",False
1730,Inverness Japan,True
1797,"BMS Meymac, France",True
1798,"Strides, Bangalore, India.",True
1801,ABBVIE (Abbott) Logis. UK,False
1802,GSK Cape Town Factory (South Africa),True
1803,GSK Aranda,True
1804,"BI, Ingelheim, Germany",False
1820,Inverness Japan,True
1888,"Aurobindo Unit III, India",True
1889,"Aurobindo Unit III, India",True
1905,"Aurobindo Unit III, India",False
1919,"Aurobindo Unit III, India",True
1926,GSK Aranda,True
1927,"MSD Midrand, J'burg, SA",False
1928,"BMS Meymac, France",False
1929,"BMS Meymac, France",False
1939,Inverness Japan,True
1940,Inverness Japan,True
1941,Inverness Japan,True
1942,Inverness Japan,True
1954,ABBVIE Ludwigshafen Germany,True
1955,"Aurobindo Unit III, India",True
1956,Mylan (formerly Matrix) Nashik,True
1957,"Cipla, Goa, India",True
1971,Not Applicable,True
1972,Chembio Diagnostics Sys. Inc.,True
1973,Chembio Diagnostics Sys. Inc.,True
2008,"KHB Test Kit Facility, Shanghai China",True
2014,"Aspen-OSD, Port Elizabeth, SA",True
2015,"BI, Ingelheim, Germany",False
2146,"KHB Test Kit Facility, Shanghai China",True
2147,"KHB Test Kit Facility, Shanghai China",True
2148,bioLytical Laboratories,True
2153,"Aurobindo Unit III, India",True
2156,"Cipla, Goa, India",False
2157,GSK Mississauga (Canada),False
2158,Roche Basel,False
2159,"BI, Ingelheim, Germany",False
2171,Inverness Japan,True
2173,Inverness USA,True
2257,Chembio Diagnostics Sys. Inc.,True
2295,"Trinity Biotech, Plc",True
2297,"Aurobindo Unit III, India",True
2298,"Aurobindo Unit III, India",False
2305,"MSD, Haarlem, NL",True
2328,Inverness Japan,True
2399,"Aurobindo Unit III, India",True
2417,Inverness Japan,True
2429,"Aurobindo Unit III, India",True
2430,"Aurobindo Unit III, India",True
2431,"Aurobindo Unit III, India",False
2432,"Aurobindo Unit III, India",True
2436,GSK Aranda,False
2437,"Cipla, Goa, India",True
2438,"BMS Meymac, France",False
2439,"Aurobindo Unit III, India",True
2440,"Boehringer Ing., Koropi, GR",False
2441,"BMS Meymac, France",True
2447,"MSD Midrand, J'burg, SA",True
2450,GSK Ware (UK),False
2451,"BMS Meymac, France",False
2463,"Cipla, Goa, India",True
2474,ABBVIE (Abbott) Logis. UK,True
2475,ABBVIE (Abbott) France,True
2476,ABBVIE (Abbott) France,True
2477,Inverness Japan,True
2478,Inverness Japan,True
2481,"BMS Meymac, France",False
2499,ABBVIE Ludwigshafen Germany,True
2502,"Trinity Biotech, Plc",True
2503,"Trinity Biotech, Plc",True
2506,ABBVIE Ludwigshafen Germany,True
2536,Mylan (formerly Matrix) Nashik,True
2539,Bio-Rad Laboratories,True
2558,Inverness Japan,True
2559,"Aurobindo Unit III, India",True
2562,Bio-Rad Laboratories,True
2571,"Cipla, Goa, India",True
2588,"BMS Meymac, France",True
2601,"BMS Meymac, France",True
2602,"BMS Meymac, France",True
2603,Inverness Japan,True
2632,ABBVIE Ludwigshafen Germany,True
2647,Bio-Rad Laboratories,True
2654,Not Applicable,True
2655,Gilead(Nycomed) Oranienburg DE,True
2656,"Aurobindo Unit III, India",False
2657,"Aurobindo Unit III, India",False
2661,"Aurobindo Unit III, India",False
2662,"Aurobindo Unit III, India",False
2680,"Aurobindo Unit III, India",True
2681,"Aurobindo Unit III, India",True
2683,"Aurobindo Unit III, India",False
2684,"Aurobindo Unit III, India",False
2685,"Aurobindo Unit III, India",True
2686,"Aurobindo Unit III, India",True
2687,"Cipla, Goa, India",False
2705,"Pacific Biotech, Thailand",True
2708,"Cipla, Goa, India",True
2721,"BMS Meymac, France",True
2733,"Pacific Biotech, Thailand",True
2740,Chembio Diagnostics Sys. Inc.,True
2741,Chembio Diagnostics Sys. Inc.,True
2756,Chembio Diagnostics Sys. Inc.,True
2765,"Aurobindo Unit III, India",True
2766,"Aurobindo Unit III, India",False
2767,"BMS Meymac, France",True
2785,ABBVIE (Abbott) Logis. UK,True
2794,"Standard Diagnostics, Korea",True
2795,"Standard Diagnostics, Korea",True
2796,Not Applicable,True
2808,"Aurobindo Unit III, India",True
2823,"Trinity Biotech, Plc",True
2892,"BMS Meymac, France",True
2921,GSK Mississauga (Canada),False
2922,"Aspen-OSD, Port Elizabeth, SA",False
2923,"Aspen-OSD, Port Elizabeth, SA",False
2927,"Trinity Biotech, Plc",True
2960,"Trinity Biotech, Plc",True
2965,"Trinity Biotech, Plc",True
2993,"MSD Midrand, J'burg, SA",False
2994,"MSD Midrand, J'burg, SA",False
2995,"Aspen-OSD, Port Elizabeth, SA",False
2996,ABBVIE (Abbott) Logis. UK,False
3007,"BMS Meymac, France",True
3008,Chembio Diagnostics Sys. Inc.,True
3009,Inverness Japan,True
3010,Inverness Japan,True
3026,"BMS Meymac, France",True
3037,Inverness Japan,True
3039,Inverness Japan,True
3040,Inverness Japan,True
3049,Inverness Japan,True
3050,Inverness Japan,True
3055,Inverness Japan,True
3080,"MSD Midrand, J'burg, SA",True
3081,"Cipla, Goa, India",False
3094,"Aurobindo Unit III, India",True
3096,"Strides, Bangalore, India.",True
3097,"Strides, Bangalore, India.",True
3152,Inverness Japan,True
3153,Inverness Japan,True
3154,Inverness Japan,True
3159,Chembio Diagnostics Sys. Inc.,True
3191,ABBVIE (Abbott) Logis. UK,False
3192,"Cipla, Goa, India",False
3193,"BMS Meymac, France",False
3202,Inverness Japan,True
3245,"Trinity Biotech, Plc",True
3261,Mylan (formerly Matrix) Nashik,True
3282,"Cipla, Goa, India",False
3292,Chembio Diagnostics Sys. Inc.,True
3294,"BMS Meymac, France",True
3302,"Cipla, Goa, India",True
3313,Inverness Japan,False
3354,"KHB Test Kit Facility, Shanghai China",True
3357,GSK Mississauga (Canada),True
3358,"BMS Meymac, France",False
3359,GSK Ware (UK),False
3360,Inverness Japan,True
3375,Ipca Dadra/Nagar Haveli IN,False
3378,ABBVIE GmbH & Co.KG Wiesbaden,True
3386,Inverness Japan,True
3419,Bio-Rad Laboratories,True
3421,"MSD, Haarlem, NL",True
3441,Inverness Japan,True
3456,"Aurobindo Unit III, India",True
3457,Inverness Japan,True
3470,"BMS Meymac, France",True
3479,"KHB Test Kit Facility, Shanghai China",True
3490,"BMS Meymac, France",False
3499,"Trinity Biotech, Plc",True
3507,Inverness Japan,True
3508,Inverness Japan,False
3551,"Trinity Biotech, Plc",True
3552,Inverness Japan,True
3615,Mylan (formerly Matrix) Nashik,True
3616,"Aurobindo Unit III, India",False
3674,Inverness Japan,True
3718,"BMS Meymac, France",False
3719,ABBVIE Ludwigshafen Germany,True
3735,"BMS Meymac, France",False
3736,"Aurobindo Unit III, India",False
3737,"Aurobindo Unit III, India",False
3738,"Boehringer Ing., Koropi, GR",True
3739,GSK Cape Town Factory (South Africa),True
3743,"Boehringer Ing., Koropi, GR",False
3745,"MSD Midrand, J'burg, SA",True
3746,"Aurobindo Unit III, India",True
3747,"Aurobindo Unit III, India",True
3748,"Aurobindo Unit III, India",True
3749,"BI, Ingelheim, Germany",False
3751,"BMS Meymac, France",False
3752,GSK Ware (UK),False
3753,Roche Basel,True
3754,ABBVIE (Abbott) Logis. UK,True
3763,GSK Ware (UK),True
3767,"Aurobindo Unit III, India",True
4020,"Aurobindo Unit III, India",False
3768,"Aurobindo Unit III, India",False
3769,ABBVIE Ludwigshafen Germany,True
3770,"BMS Meymac, France",False
3771,GSK Crawley,True
3772,"Aurobindo Unit III, India",True
3781,"Pacific Biotech, Thailand",True
3787,GSK Crawley,True
3808,Inverness Japan,True
3828,Mylan (formerly Matrix) Nashik,True
3839,Inverness Japan,True
3840,GSK Ware (UK),True
3846,"Cipla, Goa, India",True
3848,Mylan (formerly Matrix) Nashik,True
3851,"Aurobindo Unit III, India",True
3852,"Aurobindo Unit III, India",False
3870,"Pacific Biotech, Thailand",True
3880,"BMS Meymac, France",True
3894,"Boehringer Ing., Koropi, GR",True
3895,"BMS Meymac, France",False
3896,GSK Ware (UK),False
3897,"Aurobindo Unit III, India",False
3898,Roche Basel,False
3899,"Aspen-OSD, Port Elizabeth, SA",True
3926,"OMEGA Diagnostics, UK",True
3955,"Aurobindo Unit III, India",True
3956,Roche Madrid,True
3970,Premier Med. Corp Ltd. India,True
3971,"Trinity Biotech, Plc",True
3972,ABBVIE GmbH & Co.KG Wiesbaden,True
3976,"Standard Diagnostics, Korea",True
3989,"Trinity Biotech, Plc",True
3992,ABBVIE GmbH & Co.KG Wiesbaden,True
4021,ABBVIE Ludwigshafen Germany,True
4023,Inverness Japan,True
4025,"BMS Meymac, France",True
4044,"Standard Diagnostics, Korea",True
4045,"Standard Diagnostics, Korea",True
4085,Inverness Japan,True
4100,Chembio Diagnostics Sys. Inc.,True
4189,GSK Aranda,False
4190,"BMS Meymac, France",True
4192,"Trinity Biotech, Plc",False
4193,"Cipla, Goa, India",True
4198,ABBVIE Ludwigshafen Germany,True
4215,"Aurobindo Unit III, India",False
4257,"BI, Ingelheim, Germany",False
4258,GSK Aranda,False
4259,GSK Mississauga (Canada),False
4283,ABBVIE Ludwigshafen Germany,True
4290,"BMS Meymac, France",True
4301,Inverness Japan,True
4302,Bio-Rad Laboratories,True
4303,"Trinity Biotech, Plc",True
4311,Inverness Japan,True
4312,"Trinity Biotech, Plc",True
4321,Inverness Japan,True
4331,Not Applicable,True
4333,Inverness Japan,True
4347,GSK Mississauga (Canada),False
4367,"Aurobindo Unit III, India",False
4368,"Cipla, Goa, India",True
4369,"Cipla, Goa, India",True
4372,ABBVIE Ludwigshafen Germany,True
4373,ABBVIE Ludwigshafen Germany,True
4432,Inverness Japan,True
4456,"Cipla, Goa, India",True
4457,"Aurobindo Unit III, India",True
4458,"Aurobindo Unit III, India",True
4459,"BMS Meymac, France",True
4460,Mylan (formerly Matrix) Nashik,False
4461,"BMS Meymac, France",False
4470,Inverness Japan,True
4531,"Aspen-OSD, Port Elizabeth, SA",False
4534,"Trinity Biotech, Plc",True
4567,"BMS Meymac, France",True
4593,Inverness Japan,False
4594,"Trinity Biotech, Plc",True
4611,"Trinity Biotech, Plc",True
4615,Inverness Japan,True
4635,"Aurobindo Unit III, India",True
4646,BUNDI INTERNATIONAL DIAGNOSTICS LTD,True
4647,"KHB Test Kit Facility, Shanghai China",True
4648,"KHB Test Kit Facility, Shanghai China",True
4649,"KHB Test Kit Facility, Shanghai China",True
4650,Inverness Japan,True
4709,"Cipla, Goa, India",True
4722,"Trinity Biotech, Plc",True
4794,"BMS Meymac, France",True
4798,"MSD Midrand, J'burg, SA",False
4804,"Trinity Biotech, Plc",True
4818,Inverness Japan,True
4824,"MSD, Haarlem, NL",True
4854,Inverness Japan,True
4921,"Aurobindo Unit III, India",False
4929,"Standard Diagnostics, Korea",True
4947,INVERNESS ORGENICS LINE,True
4949,ABBVIE Ludwigshafen Germany,True
5032,"Aurobindo Unit III, India",False
5033,"Aurobindo Unit III, India",False
5034,"Aurobindo Unit III, India",False
5035,"Boehringer Ing., Koropi, GR",False
5036,"Aurobindo Unit III, India",True
5037,"Cipla, Goa, India",True
5041,GSK Aranda,False
5042,"Aurobindo Unit III, India",False
5043,"MSD Midrand, J'burg, SA",False
5044,"Aurobindo Unit III, India",False
5045,"Cipla, Goa, India",False
5046,"Aspen-OSD, Port Elizabeth, SA",False
5047,"Aspen-OSD, Port Elizabeth, SA",False
5048,ABBVIE (Abbott) France,True
5049,GSK Aranda,True
5050,"BMS Meymac, France",True
5051,"MSD Midrand, J'burg, SA",False
5052,Roche Basel,False
5053,"MSD Midrand, J'burg, SA",False
5058,"Aurobindo Unit III, India",True
5059,"Aurobindo Unit III, India",True
5066,"Pacific Biotech, Thailand",True
5076,"Aspen-OSD, Port Elizabeth, SA",True
5081,"MSD Midrand, J'burg, SA",True
5083,ABBVIE Ludwigshafen Germany,True
5113,Hetero Unit III Hyderabad IN,True
5114,"Novartis Pharma Suffern, USA",True
5119,Bio-Rad Laboratories,True
5120,Bio-Rad Laboratories,True
5147,"Trinity Biotech, Plc",True
5175,Roche Basel,True
5194,GSK Ware (UK),False
5195,ABBVIE Ludwigshafen Germany,False
5199,Chembio Diagnostics Sys. Inc.,True
5201,ABBVIE (Abbott) Logis. UK,True
5233,"Standard Diagnostics, Korea",True
5243,Ranbaxy Fine Chemicals LTD,True
5249,ABBVIE (Abbott) St. P'burg USA,True
5253,"Aurobindo Unit III, India",False
5260,"Aurobindo Unit III, India",True
5261,"Aurobindo Unit III, India",False
5268,"Aurobindo Unit III, India",True
5277,"Ranbaxy, Paonta Shahib, India",True
5278,"Aurobindo Unit III, India",False
5279,"Ranbaxy, Paonta Shahib, India",True
5280,"Aurobindo Unit III, India",True
5281,"Aurobindo Unit III, India",False
5282,"Aurobindo Unit III, India",False
5283,ABBVIE (Abbott) Logis. UK,True
5293,ABBVIE GmbH & Co.KG Wiesbaden,True
5294,"Trinity Biotech, Plc",True
5295,"Pacific Biotech, Thailand",True
5303,"BMS Meymac, France",True
5304,"Trinity Biotech, Plc",True
5324,"Trinity Biotech, Plc",True
5352,"Trinity Biotech, Plc",True
5353,Inverness Japan,True
5364,"BMS Meymac, France",True
5365,Inverness Japan,True
5366,Inverness Japan,True
5428,"Standard Diagnostics, Korea",True
5446,Premier Med. Corp Ltd. India,True
5507,"MSD Midrand, J'burg, SA",False
5508,ABBVIE (Abbott) France,False
5509,ABBVIE (Abbott) Logis. UK,False
5510,"BMS Meymac, France",False
5522,ABBVIE Ludwigshafen Germany,True
5532,Inverness Japan,True
5534,"Aurobindo Unit III, India",False
5551,"Trinity Biotech, Plc",True
5575,"BMS Meymac, France",False
5589,"Trinity Biotech, Plc",True
5590,Chembio Diagnostics Sys. Inc.,True
5595,Inverness Japan,True
5596,Inverness Japan,True
5622,Inverness Japan,True
5634,"Standard Diagnostics, Korea",True
5635,"Pacific Biotech, Thailand",True
5645,Inverness Japan,True
5646,Inverness Japan,True
5647,Inverness Japan,True
5657,Chembio Diagnostics Sys. Inc.,True
5658,"Trinity Biotech, Plc",True
5661,Bio-Rad Laboratories,True
5675,GSK Aranda,False
5676,GSK Cape Town Factory (South Africa),False
5677,"BMS Meymac, France",False
5678,"Aspen-OSD, Port Elizabeth, SA",False
5701,"Aurobindo Unit III, India",True
5703,Mylan (formerly Matrix) Nashik,True
5713,Inverness Japan,True
5717,"BI, Ingelheim, Germany",False
5769,Inverness Japan,True
5793,"Aurobindo Unit III, India",True
5794,ABBVIE Ludwigshafen Germany,True
5796,Mylan (formerly Matrix) Nashik,True
5799,GSK Ware (UK),False
5800,"BMS Meymac, France",False
5801,Gilead(Nycomed) Oranienburg DE,False
5802,"BMS Meymac, France",False
5815,"Trinity Biotech, Plc",True
5818,"Trinity Biotech, Plc",True
5821,"Pacific Biotech, Thailand",True
5857,Inverness Japan,True
5860,Inverness Japan,True
5894,"Aurobindo Unit III, India",True
5895,Mylan (formerly Matrix) Nashik,True
5905,GSK Mississauga (Canada),True
5916,"Aspen-OSD, Port Elizabeth, SA",False
5917,"Micro Labs Ltd. (Brown & Burk), India",True
5928,Chembio Diagnostics Sys. Inc.,True
5935,ABBVIE Ludwigshafen Germany,True
5936,"Aurobindo Unit III, India",True
5937,"BMS Meymac, France",True
5976,"KHB Test Kit Facility, Shanghai China",True
5978,"BMS Meymac, France",False
5979,"BMS Meymac, France",False
5987,Inverness Japan,True
6023,Meditab (for Cipla) Daman IN,True
6041,Inverness Japan,True
6062,Inverness Japan,False
6081,"Aurobindo Unit III, India",True
6082,"Aurobindo Unit III, India",False
6084,"Trinity Biotech, Plc",True
6105,"Trinity Biotech, Plc",True
6106,Chembio Diagnostics Sys. Inc.,True
6111,"KHB Test Kit Facility, Shanghai China",True
6125,"Cipla, Goa, India",False
6139,Not Applicable,True
6196,"Medopharm Malur Factory, INDIA",True
6253,"Trinity Biotech, Plc",True
6257,"Aurobindo Unit III, India",False
6272,Inverness Japan,True
6312,Premier Med. Corp Ltd. India,True
6369,ABBVIE Ludwigshafen Germany,True
6381,"BMS Meymac, France",True
6394,"Aurobindo Unit III, India",False
6395,"BMS Meymac, France",False
6396,"Aurobindo Unit III, India",False
6397,"BMS Meymac, France",False
6398,"Aurobindo Unit III, India",False
6399,"BMS Meymac, France",False
6400,"Aurobindo Unit III, India",False
6401,"BMS Meymac, France",False
6402,GSK Mississauga (Canada),False
6403,GSK Mississauga (Canada),True
6404,"MSD Midrand, J'burg, SA",False
6405,GSK Aranda,False
6411,"Aurobindo Unit III, India",True
6415,"Aurobindo Unit III, India",False
6416,"Aurobindo Unit III, India",False
6417,"Aurobindo Unit III, India",False
6418,"Aurobindo Unit III, India",True
6431,ABBVIE (Abbott) Logis. UK,True
6432,"Aspen-OSD, Port Elizabeth, SA",True
6436,"Cipla, Goa, India",True
6437,"Aurobindo Unit III, India",False
6438,"Aurobindo Unit III, India",False
6439,"Aurobindo Unit III, India",False
6440,"BMS Meymac, France",True
6450,Inverness Japan,True
6451,"Trinity Biotech, Plc",True
6488,"Novartis Pharma Suffern, USA",True
6517,"Aurobindo Unit III, India",False
6519,Inverness Japan,True
6524,Chembio Diagnostics Sys. Inc.,True
6544,"BMS Meymac, France",True
6546,"BMS Meymac, France",False
6561,ABBVIE (Abbott) Logis. UK,True
6563,"Aurobindo Unit III, India",False
6595,ABBVIE GmbH & Co.KG Wiesbaden,True
6599,Not Applicable,True
6600,"Ranbaxy, Paonta Shahib, India",True
6601,"Cipla, Goa, India",True
6608,ABBVIE GmbH & Co.KG Wiesbaden,True
6621,"Aurobindo Unit III, India",False
6622,"Strides, Bangalore, India.",True
6623,ABBVIE (Abbott) Logis. UK,True
6624,Gilead(Nycomed) Oranienburg DE,True
6625,Gilead(Nycomed) Oranienburg DE,True
6626,"Aurobindo Unit III, India",False
6627,"Strides, Bangalore, India.",False
6642,ABBVIE (Abbott) Logis. UK,True
6647,"Trinity Biotech, Plc",True
6670,"BMS Meymac, France",True
6671,"BMS Meymac, France",True
6691,"Ranbaxy, Paonta Shahib, India",True
6692,ABBVIE Ludwigshafen Germany,True
6693,Chembio Diagnostics Sys. Inc.,True
6705,"BMS Meymac, France",True
6724,"Aurobindo Unit III, India",True
6745,Inverness Japan,True
6746,Chembio Diagnostics Sys. Inc.,True
6753,ABBVIE GmbH & Co.KG Wiesbaden,True
6768,Not Applicable,True
6837,"Aspen-OSD, Port Elizabeth, SA",False
6845,"BMS Meymac, France",False
6846,"BI, Ingelheim, Germany",False
6848,"Cipla, Goa, India",True
6849,"Cipla, Goa, India",True
6881,"Pacific Biotech, Thailand",True
6884,"Trinity Biotech, Plc",True
6896,"Aspen-OSD, Port Elizabeth, SA",True
6913,ABBVIE (Abbott) France,False
6914,ABBVIE (Abbott) Logis. UK,False
6915,GSK Cape Town Factory (South Africa),False
6931,GSK Mississauga (Canada),True
6932,Chembio Diagnostics Sys. Inc.,True
6933,Chembio Diagnostics Sys. Inc.,True
6962,Inverness Japan,True
6972,"Pacific Biotech, Thailand",True
6988,Inverness Japan,True
6994,Inverness USA,True
7007,Gilead(Nycomed) Oranienburg DE,True
7008,ABBVIE (Abbott) Logis. UK,False
7009,GSK Mississauga (Canada),False
7030,"BMS Meymac, France",True
7032,"Aurobindo Unit III, India",True
7055,"BMS Meymac, France",False
7056,ABBVIE (Abbott) Logis. UK,True
7091,"Trinity Biotech, Plc",True
7093,"Trinity Biotech, Plc",True
7120,Mylan (formerly Matrix) Nashik,False
7121,Mylan (formerly Matrix) Nashik,False
7122,"Strides, Bangalore, India.",True
7125,ABBVIE (Abbott) Logis. UK,False
7126,Gilead(Nycomed) Oranienburg DE,True
7127,"Cipla, Goa, India",False
7128,GSK Mississauga (Canada),False
7129,GSK Mississauga (Canada),True
7172,"Micro Labs Ltd. (Brown & Burk), India",True
7176,"Trinity Biotech, Plc",True
7183,Premier Med. Corp Ltd. India,True
7184,"Standard Diagnostics, Korea",True
7201,"Aurobindo Unit III, India",True
7202,"Aspen-OSD, Port Elizabeth, SA",True
7218,"Aurobindo Unit III, India",False
9269,"Aurobindo Unit III, India",True
7244,"Cipla, Goa, India",False
7259,Inverness Japan,True
8951,"Trinity Biotech, Plc",True
7260,Inverness Japan,True
7276,"Trinity Biotech, Plc",True
7321,Inverness Japan,False
7325,"Cipla, Goa, India",False
7326,"BMS Meymac, France",False
7327,GSK Cape Town Factory (South Africa),False
7338,Ipca Dadra/Nagar Haveli IN,True
7398,Bio-Rad Laboratories,True
7421,Inverness USA,True
7436,"Aurobindo Unit III, India",False
7467,"KHB Test Kit Facility, Shanghai China",True
7468,"KHB Test Kit Facility, Shanghai China",True
7469,"KHB Test Kit Facility, Shanghai China",True
7475,GSK Aranda,False
